rank,team,country,score,best_league_division,first_division_share,titles_score,matches,weighted_matches,record,points,ppg,gf,ga,gd,gf_per_match,ga_per_match,win_rate,adjusted_kicks_per_match,adjusted_passes_per_match,weighted_passes_per_kick,adjusted_gd_per_match,cs_rate,possession,passes_per_match,shots_per_match,competitions
69,"CD Quinto","🇪🇸",36.83,2,0.000,0.00,9,4.46,"0.93-0.00-3.53",2.79,0.625,13.58,21.30,-7.72,3.042,4.771,0.208,195.34,73.47,0.376,-0.86,0.000,47.44,148.13,15.21,2
70,"Mattilans HT","🇮🇹",36.77,2,0.000,1.72,22,9.95,"5.38-0.81-3.76",16.93,1.703,35.51,41.00,-5.49,3.570,4.122,0.540,154.36,55.38,0.359,-0.25,0.459,46.88,122.49,13.33,5
71,"Juventudes Alienígenas","🇪🇺",35.95,4,0.000,0.00,11,3.20,"2.00-0.20-1.00",6.20,1.938,9.60,10.20,-0.60,3.000,3.187,0.625,130.79,51.33,0.392,-0.05,0.594,51.06,176.44,20.09,2
72,"Ils Sont Tristes","🇹🇷",35.79,1,0.562,3.25,15,7.69,"2.67-0.72-4.30",8.73,1.135,20.66,31.88,-11.22,2.686,4.145,0.347,173.06,61.93,0.358,-0.75,0.254,48.43,120.79,10.47,4
73,"Palomares CF","🇪🇸",35.58,1,0.556,0.00,18,9.06,"2.74-0.98-5.35",9.20,1.015,15.35,31.77,-16.42,1.694,3.506,0.302,180.99,65.41,0.361,-0.91,0.561,49.49,129.94,8.94,4
74,"Bari Passato","🇮🇹",35.54,2,0.000,0.00,7,3.27,"0.86-0.00-2.41",2.58,0.789,14.10,23.99,-9.89,4.316,7.342,0.263,181.55,72.28,0.398,-1.41,0.132,49.08,154.82,15.63,2
75,"Bimbo FC","🇪🇸",35.45,2,0.000,1.86,23,10.16,"4.35-0.00-5.82",13.04,1.283,33.70,44.52,-10.81,3.317,4.381,0.428,148.78,59.81,0.402,-0.47,0.256,48.74,135.37,13.06,5
76,"Popper Munchen","🇪🇸",35.27,2,0.000,0.00,7,2.77,"1.19-0.40-1.19",3.95,1.429,8.29,9.09,-0.79,3.000,3.286,0.429,149.08,56.99,0.382,-0.11,0.286,50.47,144.29,16.71,2
77,"Brentford","🇪🇺",35.24,1,0.674,0.00,13,6.47,"3.06-0.44-2.97",9.61,1.486,17.52,22.99,-5.47,2.710,3.556,0.473,155.67,54.92,0.353,-0.42,0.544,46.61,110.40,12.41,5
78,"Occult Epsilon","🇪🇺",34.44,,0.000,0.00,4,1.75,"0.88-0.00-0.88",2.63,1.500,7.46,7.02,0.44,4.250,4.000,0.500,186.54,77.86,0.417,0.11,0.250,52.83,177.50,25.50,1
79,"Real Zaragoza","🇪🇸",34.30,2,0.000,0.00,9,3.12,"1.50-0.33-1.30",4.81,1.542,8.06,5.53,2.54,2.583,1.771,0.479,130.03,50.51,0.388,0.28,0.958,51.37,145.69,14.35,2
80,"Haramball FC","🇪🇸",33.77,2,0.000,0.00,7,3.27,"1.29-0.00-1.98",3.87,1.184,10.84,15.65,-4.82,3.316,4.789,0.395,151.56,56.53,0.373,-0.69,0.526,47.06,121.08,11.82,2
81,"San Lorenzo","🇪🇸",33.64,3,0.000,0.00,8,2.20,"1.40-0.00-0.80",4.20,1.909,16.40,12.00,4.40,7.455,5.455,0.636,102.38,41.45,0.405,0.55,0.182,48.89,150.73,25.55,2
82,"Los Turcos","🇹🇷",33.13,,0.000,0.00,4,1.75,"0.88-0.00-0.88",2.63,1.500,5.26,5.70,-0.44,3.000,3.250,0.500,175.36,74.79,0.427,-0.11,0.500,52.90,170.50,16.50,1
83,"Celta de Vigo","🇵🇹",32.90,2,0.000,0.00,8,2.67,"1.62-0.29-0.75",5.16,1.935,9.40,5.28,4.12,3.522,1.978,0.609,110.93,38.68,0.349,0.51,0.826,49.18,115.98,15.09,2
84,"Pink Dragons","🇪🇸",32.73,2,0.000,0.00,7,3.26,"0.93-0.00-2.33",2.79,0.857,10.23,15.81,-5.58,3.143,4.857,0.286,149.53,60.25,0.403,-0.80,0.286,49.74,129.57,10.71,2
85,"Dark Angels","🇪🇺",32.42,,0.000,0.00,4,1.75,"0.88-0.00-0.88",2.63,1.500,3.51,5.26,-1.75,2.000,3.000,0.500,179.96,72.16,0.401,-0.44,0.500,51.17,164.50,11.50,1
86,"EDF","🇫🇷",32.31,2,0.000,0.00,10,4.93,"1.40-0.47-3.07",4.65,0.943,13.30,23.25,-9.95,2.698,4.717,0.283,153.33,59.19,0.386,-1.00,0.189,46.57,120.08,10.06,2
87,"Serbia","🇷🇸",31.39,,0.000,0.00,3,1.95,"0.65-0.00-1.30",1.95,1.000,9.11,9.76,-0.65,4.667,5.000,0.333,281.09,111.48,0.397,-0.22,0.667,51.27,171.33,20.67,1
88,"Galácticos Blaugranas","🇪🇸",31.34,2,0.000,0.00,35,12.84,"4.70-0.20-7.94",14.30,1.114,41.11,55.67,-14.55,3.203,4.336,0.366,125.53,51.02,0.406,-0.42,0.421,47.94,139.11,14.52,8
89,"Real Sociedad","🇪🇸",31.09,3,0.000,0.00,19,5.89,"2.30-0.00-3.59",6.91,1.172,21.39,27.80,-6.42,3.631,4.721,0.391,130.72,46.61,0.357,-0.34,0.352,51.28,150.34,17.80,5
90,"Newells Old Boys","🇪🇺",30.79,1,0.862,0.00,6,3.77,"0.00-0.00-3.77",0.00,0.000,4.55,21.71,-17.16,1.207,5.759,0.000,192.51,77.05,0.400,-2.86,0.000,50.33,122.62,9.21,2
91,"Benfica","🇲🇦",30.73,1,0.897,0.00,8,3.98,"0.51-0.00-3.47",1.53,0.385,7.04,24.79,-17.75,1.769,6.231,0.128,179.43,65.75,0.366,-2.22,0.103,49.93,132.23,9.15,2
92,"Phase Shift","🇮🇹",30.46,2,0.000,0.00,18,6.79,"2.66-0.47-3.67",8.45,1.243,19.11,31.03,-11.92,2.812,4.567,0.392,125.65,47.54,0.378,-0.66,0.431,48.08,125.96,14.80,4
93,"Atletic Lleida","🇪🇸",30.42,1,0.902,0.00,17,8.94,"0.51-1.16-7.27",2.69,0.301,14.54,44.58,-30.04,1.626,4.985,0.057,179.54,65.02,0.362,-1.77,0.187,47.92,123.60,7.71,4
94,"Mata Patos","🇵🇹",30.36,2,0.000,0.00,8,4.30,"0.00-0.50-3.80",0.50,0.116,8.30,23.70,-15.40,1.930,5.512,0.000,189.60,67.16,0.354,-1.92,0.233,47.07,124.95,11.33,2
95,"UD Fonteta","🇪🇸",30.02,1,0.277,0.00,45,18.42,"4.79-1.08-12.54",15.46,0.839,33.79,63.91,-30.11,1.835,3.470,0.260,143.29,49.74,0.347,-0.67,0.493,47.48,121.55,10.43,12
96,"Psikomotronik FC","🇪🇸",29.91,3,0.000,0.00,9,2.58,"1.03-0.52-1.03",3.61,1.400,8.60,9.29,-0.69,3.333,3.600,0.400,107.25,43.63,0.407,-0.08,0.200,51.77,152.20,12.87,2
97,"Haxlock Next Gen","🇮🇹",29.53,2,0.000,0.00,12,4.98,"1.19-0.79-3.00",4.35,0.873,10.74,20.07,-9.32,2.159,4.032,0.238,144.97,49.39,0.341,-0.78,0.397,45.38,119.10,12.51,2
98,"Patetico Own Goal","🇪🇸",28.98,3,0.000,0.00,8,1.49,"1.12-0.19-0.19",3.53,2.375,7.81,3.91,3.91,5.250,2.625,0.750,62.87,23.25,0.370,0.49,0.875,49.03,125.00,18.00,2
99,"Dark Fvria","🇪🇺",28.66,2,0.000,0.00,8,3.70,"0.86-0.43-2.41",3.01,0.814,9.03,16.51,-7.48,2.442,4.465,0.233,132.88,50.06,0.377,-0.94,0.233,45.12,108.30,8.14,2
100,"Tiyatro FC","🇹🇷",28.49,3,0.000,0.00,6,1.80,"0.40-0.00-1.40",1.20,0.667,5.60,9.20,-3.60,3.111,5.111,0.222,117.63,50.40,0.428,-0.60,0.111,49.54,168.00,17.67,2
101,"Pharaohs FC","🇪🇬",28.08,3,0.000,0.00,8,2.41,"1.38-0.00-1.03",4.13,1.714,7.74,8.26,-0.52,3.214,3.429,0.571,82.75,30.49,0.368,-0.06,0.500,46.64,101.29,9.57,2
102,"Dinamo Timanfaya","🇪🇸",27.97,2,0.000,0.00,38,14.41,"3.57-0.89-9.96",11.59,0.804,31.80,57.87,-26.08,2.206,4.015,0.247,127.07,45.34,0.357,-0.69,0.440,48.74,119.54,11.10,10
103,"Vornix United","🇪🇸",27.82,3,0.000,0.00,21,5.80,"2.70-0.19-2.92",8.29,1.429,23.31,25.00,-1.68,4.017,4.307,0.466,91.87,33.99,0.370,-0.08,0.505,48.42,122.99,14.39,5
104,"Vodka Juniors Gime","🇪🇸",27.47,3,0.000,0.00,10,2.75,"1.03-0.52-1.20",3.61,1.313,8.77,12.21,-3.44,3.188,4.438,0.375,101.94,37.94,0.372,-0.34,0.250,48.12,137.88,18.25,2
105,"Atlas Lions","🇲🇦",27.27,2,0.000,0.00,7,2.47,"0.00-0.33-2.15",0.33,0.132,3.77,7.61,-3.84,1.526,3.079,0.000,140.92,53.44,0.379,-0.55,0.474,51.16,151.45,11.34,2
106,"Real Furcia","🇪🇸",27.12,2,0.000,0.00,8,2.49,"0.58-0.00-1.91",1.74,0.698,5.22,7.71,-2.49,2.093,3.093,0.233,114.77,42.15,0.367,-0.31,0.302,51.24,135.21,9.09,2
107,"Juventus FC","🇪🇸",26.90,,0.000,0.00,3,1.71,"0.57-0.00-1.14",1.71,1.000,2.28,2.85,-0.57,1.333,1.667,0.333,238.55,85.59,0.359,-0.19,1.333,48.73,150.33,10.67,1
108,"Div16","🇲🇦",26.55,,0.000,0.00,3,2.10,"0.70-0.00-1.40",2.10,1.000,3.50,11.20,-7.70,1.667,5.333,0.333,247.57,102.67,0.415,-2.57,0.000,50.33,146.67,11.00,1
109,"Bastard Munchen","🇪🇸",26.15,2,0.000,0.00,19,6.21,"1.88-0.19-4.14",5.84,0.940,14.39,30.18,-15.79,2.318,4.860,0.303,109.81,38.88,0.354,-0.83,0.367,46.11,118.97,12.44,5
110,"20th Century Boys","🇲🇦",25.77,1,1.000,0.00,5,3.60,"0.00-0.00-3.60",0.00,0.000,1.44,23.04,-21.60,0.400,6.400,0.000,172.37,59.33,0.344,-4.32,0.000,44.12,82.40,5.40,2
111,"Green Devils","🇪🇺",25.75,,0.000,0.00,2,1.40,"0.70-0.00-0.70",2.10,1.500,8.40,6.30,2.10,6.000,4.500,0.500,327.95,135.45,0.413,1.05,0.000,51.20,193.50,31.00,1
112,"Manchester City","🇪🇸",25.57,2,0.000,0.00,13,5.90,"0.96-0.00-4.93",2.89,0.491,7.81,28.92,-21.11,1.324,4.906,0.164,133.41,46.06,0.345,-1.62,0.201,44.49,101.57,8.28,3
