category,rank,team,country,points,era_points,matches,ppg,record,gf,ga,gd,competitions
"Segunda division",51,"Red Diamond","🇲🇦",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Segunda division",52,"Girona Super Saiyachin","🇪🇺",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Segunda division",53,"Atletico de Madrid","🇪🇸",0,0.00,1,0.000,"0-0-1",2,6,-4,1
"Segunda division",54,"Hosbes FC","🇹🇷",0,0.00,1,0.000,"0-0-1",1,8,-7,1
"Segunda division",55,"New Spirit","🇪🇸",0,0.00,3,0.000,"0-0-3",1,18,-17,1
"Segunda division",56,"Zuprimillo FC","🇪🇸",0,0.00,6,0.000,"0-0-6",7,35,-28,1
"Segunda division",57,"Chelsea FC","🇪🇸",0,0.00,6,0.000,"0-0-6",3,38,-35,1
"Tercera division",1,"Vornix United","🇪🇸",31,29.46,18,1.722,"10-1-7",76,80,-4,2
"Tercera division",2,"Galácticos Blaugranas","🇪🇸",31,28.06,19,1.632,"10-1-8",75,60,15,2
"Tercera division",3,"Real Sociedad","🇪🇸",24,23.37,15,1.600,"8-0-7",75,53,22,2
"Tercera division",4,"Vinotinto","🇪🇸",23,21.39,11,2.091,"7-2-2",62,31,31,1
"Tercera division",5,"San Lorenzo","🇪🇸",21,21.00,7,3.000,"7-0-0",50,20,30,1
"Tercera division",6,"Bimbo FC","🇪🇸",21,19.53,9,2.333,"7-0-2",48,23,25,1
"Tercera division",7,"Patetico Own Goal","🇪🇸",19,17.67,8,2.375,"6-1-1",42,21,21,1
"Tercera division",8,"Mattilans HT","🇮🇹",14,12.04,6,2.333,"4-2-0",25,14,11,1
"Tercera division",9,"Bastard Munchen","🇪🇸",13,12.09,9,1.444,"4-1-4",29,36,-7,1
"Tercera division",10,"Phase Shift","🇮🇹",12,12.00,7,1.714,"4-0-3",23,31,-8,1
"Tercera division",11,"Pharaohs FC","🇪🇬",12,10.32,6,2.000,"4-0-2",17,16,1,1
"Tercera division",12,"Malaquito de Menfis","🇪🇸",10,10.00,5,2.000,"3-1-1",25,11,14,1
"Tercera division",13,"Psikomotronik FC","🇪🇸",9,7.74,7,1.286,"2-3-2",22,22,0,1
"Tercera division",14,"Vodka Juniors Gime","🇪🇸",9,7.74,8,1.125,"2-3-3",27,23,4,1
"Tercera division",15,"Inter Talavera","🇪🇸",8,7.44,7,1.143,"2-2-3",27,28,-1,1
"Tercera division",16,"HC Los F","🇪🇸",7,6.02,6,1.167,"2-1-3",20,17,3,1
"Tercera division",17,"Tiyatro FC","🇹🇷",6,6.00,5,1.200,"2-0-3",24,30,-6,1
